ra,dec,total_flux
68.14645640170826,-61.57750227950345,0.7625734978367157
67.78017918643694,-61.343774796989145,5.241079351029731
67.78269860226187,-61.34865973836577,2.555255329990449
68.26379781458678,-61.37852479078729,1.3253526523507715
68.20466783095317,-61.372056449033025,2.2468613698181965
68.15722145822718,-61.43456533074929,1.7069637067672039
68.13812173506004,-61.52300815289458,3.7103139859556817
68.11800128511481,-61.586672877825286,1.004345884740062
68.07024947865659,-61.60168568190117,1.8355873734583432
68.04710398454125,-61.32234069402619,19.13043199082047
68.01618632382811,-61.325612213120245,9.657941633404823
68.03032998975304,-61.32539830781511,14.037522352883135
68.04618342366425,-61.28746097050877,1.8072547069453386
67.98748213169216,-61.308043685854905,52.06697291784788
67.98880512115828,-61.30945315443008,1.9132046668218468
67.98611231887298,-61.30995050246595,3.0424132195817215
67.98922678028512,-61.3074890973996,2.726405272056686
67.96459448204722,-61.449647200931985,11.666899303520907
67.94833844024193,-61.37942417110393,2.970113014661587
67.92205842055688,-61.46852686118621,5.918974695810984
67.92591329820779,-61.46419226325752,1.390509940123668
67.8777450484366,-61.645964247692795,1.548636020514047
67.90867711416217,-61.38353670677585,2.894583925441032
67.8724743050399,-61.489566168299525,1.088456502491821
67.81705126295554,-61.440163066095266,1.7728423321263385
67.80479530166231,-61.42009414687329,20.924464035272166
67.79915821652783,-61.32942099219569,8.878374629397795
67.78595122724508,-61.41905871959343,1.8067952069939843
67.76760741723699,-61.41264489027915,1.7741690842726818
67.7591508553218,-61.36270781701598,16.41181319513822
67.74678174048593,-61.37139113216322,15.264614662238092
67.70880733471557,-61.38489537997473,10.392778308744738
67.72745337551122,-61.37927406336085,10.076776221578049
67.7185743168781,-61.38217266505787,7.819755421841788
67.74531425681893,-61.36717963655556,8.53431640866397
67.73392824300319,-61.375333369089766,6.185773841362653
67.73484692912129,-61.48303183030201,10.325196824567582
67.68044122907871,-61.455052997171734,20.896708275570305
67.6908968628605,-61.45182830059465,18.208432808926688
67.6756630827422,-61.454574544836895,22.39419565328212
67.69222913797816,-61.4549889230361,5.9691639252429605
67.71257348156253,-61.455385362781584,13.668576898532807
67.65557097817927,-61.36000886489823,3.6625525306224658
67.57453548946863,-61.56541129202534,179.90203927635682
67.55457186011702,-61.55656277418193,160.57159869392154
67.5736907820837,-61.544614075718854,227.37718930307298
67.56089790467209,-61.550355009220006,77.11298319487022
67.56150575479975,-61.56352976862583,161.3341244712511
67.55259556573492,-61.56828100262529,164.27977829467326
67.59192199709737,-61.53362432499654,181.223318704817
67.57718234633097,-61.527635248096736,180.81533102954634
67.58985483027688,-61.53445509170918,30.329215656148033
67.57037166870505,-61.53133979449413,64.75169394440479
67.57640068010038,-61.532159424094274,56.41496928920043
67.53363919028348,-61.301166791511974,2.2890323687167644
67.48785980289769,-61.47793780584868,10.805627797422261
67.47636799623646,-61.48198420379633,9.224840442271237
67.48319285457067,-61.47958718322066,21.944412115124457
67.48962267246692,-61.47678453583563,3.742107625672716
67.47795710955108,-61.47952941022661,1.8748282036658341
67.40619471451875,-61.311492221399455,0.520908772798224
67.30763026373889,-61.44119500868231,1.338462013613537
67.29822674024882,-61.47376639888975,1.342448630254189
67.80301106602924,-61.419767744862774,5.528848322220705
67.5518947275052,-61.534418843216436,112.21370631485189
67.52659309887544,-61.53439016548507,46.72766837724986
67.52581783870846,-61.5221462904184,19.370800656177675
67.536555214582,-61.53171119423051,60.0615699449405
67.57399248691279,-61.52222982326601,11.058349333284728
67.5293399008862,-61.54367376031091,12.780343506303602
67.54154710698272,-61.54488968885764,132.67716115600027
67.50820075491993,-61.52781955710143,6.946471670350508
67.55560705903186,-61.51546567067646,6.261799084109752
67.57422882987795,-61.52883581622748,9.536102217621867
67.5497871509564,-61.536015783934424,4.476899743230789
67.5895397779884,-61.533023579416486,6.898330134513785
67.56930315211584,-61.53382868767977,0.9759500568054663
67.5214949456517,-61.569938153439765,1.8469169510300167
67.57152236920764,-61.53170823865123,2.935306525244573
67.5834444211326,-61.526404583331406,2.602416512089916
67.56994277844234,-61.52978689139109,1.9901285626870548
67.57842616177572,-61.53309633589776,0.9376867546951355
67.57034811234422,-61.529077781613104,0.4873670645219662
67.53987776342146,-61.534998409439126,17.025131148807922
67.50473419341444,-61.543301030675,6.585925967484328
67.5117455848912,-61.51178377923369,5.238270905720425
67.49868740772926,-61.560367722786,4.652257926675016
67.54251325663904,-61.55680917585533,6.251947928898517
67.60565273803846,-61.52490489428267,4.947137549826426
67.557007437415,-61.53779198257544,6.47614280761213
